,Номер животного,Ушная бирка животного,Пол,Номер лактации,Результат отела,Легкость отела,Дата рождения,Дней в сухостое предыдущей лактации,Дней стельности при событии,Номер группы животного,Предыдущий номер группы животного,Событие,Дни доения при событии,Дата события,Примечание события
0,401112,401112,F,7,FA,1,1/21/2014,67,0,44,4,МЕТРИТ,0,7/25/2022,Э1
1,401112,401112,F,7,FA,1,1/21/2014,67,0,18,4,ОТЕЛ,0,7/25/2022,-
2,401112,401112,F,7,FA,1,1/21/2014,67,0,44,4,ПЕРЕВОД,1,7/26/2022,F044T021
3,402155,402155,F,6,FA,1,2/13/2014,56,0,44,21,ПЕРЕВОД,1,7/1/2022,F044T021
4,402155,402155,F,6,FA,1,2/13/2014,56,0,21,21,МАСТИТ,6,7/6/2022,КМ1_23
5,402155,402155,F,6,FA,1,2/13/2014,56,0,21,21,РАСЧКОП,15,7/15/2022,КАН
6,402155,402155,F,6,FA,1,2/13/2014,56,0,21,21,НА_СХЕМУ,25,7/25/2022,11
7,402186,402186,F,5,MD,1,2/15/2014,50,0,8,41,ПЕРЕВОД,599,7/11/2022,F008T012
8,402186,402186,F,5,MD,1,2/15/2014,50,0,12,41,РАСЧКОП,600,7/12/2022,КАН
9,402186,402186,F,5,MD,1,2/15/2014,50,0,12,41,ХРОМОТА,600,7/12/2022,V2_4
10,402186,402186,F,5,MD,1,2/15/2014,50,0,12,41,ХРОМОТА,606,7/18/2022,V1_4
11,402186,402186,F,5,MD,1,2/15/2014,50,0,12,41,ПЕРЕВОД,607,7/19/2022,F012T041
12,402186,402186,F,5,MD,1,2/15/2014,50,0,41,41,ПРОДАНА,608,7/20/2022,ПРОДАНА ; МясоКомбинат ; УВЗ13
13,403230,403230,F,6,FA,1,3/30/2014,59,222,10,7,МАСТИТ,291,7/27/2022,КМ1_134
14,403230,403230,F,6,FA,1,3/30/2014,59,222,10,7,ПЕРЕВОД,291,7/27/2022,F010T003
15,406125,406125,F,6,MA,1,6/29/2014,70,143,7,3,СТЕЛН,277,7/11/2022,94 ДНИ
16,407041,407041,F,6,FA,1,7/10/2014,66,68,9,7,СТЕЛН,170,7/25/2022,31 ДНИ
17,407041,407041,F,6,FA,1,7/10/2014,66,68,9,7,ПЕРЕВОД,171,7/26/2022,F009T010
18,502078,502078,F,6,FA,1,2/12/2015,62,144,6,6,СТЕЛН,223,7/4/2022,95 ДНИ
19,502187,502187,F,6,MA,1,2/28/2015,61,0,4,3,НА_СХЕМУ,59,7/8/2022,9
20,502187,502187,F,6,MA,1,2/28/2015,61,0,4,3,ОСЕМЕН,59,7/8/2022,7H14578
21,504116,-,F,5,MA,1,4/19/2015,61,228,6,6,РАСЧКОП,348,7/2/2022,РДК
